source,target
0,72
0,0
0,56
1,46
1,14
2,97
2,64
2,93
2,83
2,96
2,22
2,24
3,36
3,42
4,38
4,39
4,57
4,94
5,38
5,39
5,57
6,37
6,62
6,88
7,70
7,55
8,18
8,38
8,94
8,39
9,83
9,64
9,87
10,34
10,32
10,10
10,11
10,24
10,61
10,65
10,57
11,32
11,30
11,24
12,42
12,18
12,57
13,99
13,20
13,17
14,41
14,54
15,97
15,64
15,69
16,40
16,58
16,89
17,99
17,29
18,82
18,57
19,80
19,51
19,22
19,57
20,89
21,71
21,21
22,75
22,22
22,29
23,41
23,25
23,49
24,91
24,63
24,77
25,78
25,54
26,26
26,37
26,59
27,99
27,76
28,71
28,73
28,43
29,99
30,65
30,77
30,91
31,32
31,31
31,61
31,95
32,91
32,65
33,59
33,75
34,65
34,95
34,63
35,84
35,80
35,79
35,51
35,78
35,92
36,98
37,88
37,74
38,67
38,57
39,57
40,99
41,45
42,67
42,98
42,44
42,57
43,71
44,57
45,54
46,46
47,75
47,79
47,84
48,85
48,99
48,76
49,78
49,54
50,80
50,79
50,51
50,84
51,79
51,92
51,96
52,72
52,52
52,56
53,97
53,53
53,87
55,74
57,82
57,94
57,57
57,68
58,99
59,70
59,85
59,74
60,83
60,69
61,95
61,63
62,85
63,91
63,99
65,91
66,88
66,66
66,85
68,98
68,68
69,97
70,85
71,72
71,73
71,90
71,95
71,81
73,81
74,74
75,79
76,99
77,95
77,77
77,91
82,99
86,91
86,86
86,90
87,93
93,96
94,98
